,depth,dim,val_acc
0,2,64,0.9987
1,2,128,0.9992
2,2,256,0.9992
3,2,512,0.9979
4,4,64,0.9996
5,4,128,0.9992
6,4,256,0.9996
7,4,512,0.9996
8,6,64,0.9987
9,6,128,0.9996
10,6,256,0.9992
11,6,512,0.9992
12,8,64,0.9966
13,8,128,0.9987
14,8,256,0.9996
15,8,512,0.9996
