,fracs,loss_weight,test_ph_acc,test_ace,test_full_acc
0,0.05,0.9,0.7,0.171,0.825
1,0.10,0.9,0.808,0.28,0.832
2,0.25,0.9,0.82,0.275,0.83
3,0.50,0.9,0.832,0.269,0.847
