,depth,dim,val_acc
0,2,64,0.8428
1,2,128,0.8635
2,2,256,0.8811
3,2,512,0.8857
4,4,64,0.8676
5,4,128,0.8656
6,4,256,0.8692
7,4,512,0.8351
8,6,64,0.8449
9,6,128,0.8775
10,6,256,0.8904
11,6,512,0.8919
12,8,64,0.8687
13,8,128,0.8759
14,8,256,0.8842
15,8,512,0.895
