,fracs,loss_weight,test_ph_acc,test_ace,test_full_acc,ph_acc,ace,acc
0,0.05,0.7,0.97,0.462,0.997,0.966,0.455,0.997
1,0.10,0.9,0.991,0.472,0.997,0.99,0.472,0.997
2,0.25,0.5,0.992,0.449,0.994,0.992,0.453,0.995
3,0.50,0.6,0.987,0.316,0.992,0.988,0.326,0.992
