,fracs,loss_weight,test_ph_acc,test_ace,test_full_acc,ph_acc,ace,acc
0,0.05,0.9,0.936,0.422,0.968,0.931,0.412,0.96
1,0.10,0.7,0.953,0.43,0.983,0.947,0.421,0.982
2,0.25,0.6,0.969,0.415,0.982,0.957,0.404,0.978
3,0.50,0.7,0.968,0.318,0.986,0.965,0.317,0.981
